input,target
गर्दन में जलान और नींद नहीं आना है,गर्दन में जलन और नींद नहीं आना है
जब खड़ा होता करता हूं तो दांत में सुननपन होता है,जब खड़ा होता करता हूं तो दांत में सुन्नपन होता है
गला में ऐंठन है जो डखना तक फैल रहा है,गला में ऐंठन है जो टखना तक फैल रहा है
आंख में सूजन है ज उंगली तक फैल रहा है,आंख में सूजन है जो उंगली तक फैल रहा है
हाथ में जलन हैजो उंगलियों तक फैल रहा है,हाथ में जलन है जो उंगलियों तक फैल रहा है
कंधों में हल ्की तेजदर्द है,कंधों में हल्की तेज दर्द है
पेट में खूजली और वजन बढ़ना है,पेट में खुजली और वजन बढ़ना है
पीठ में जलन हो रहा है और रात से से पीठ में ऐठन है,पीठ में जलन हो रहा है और रात से से पीठ में ऐंठन है
परैों में सूजन हो रहा है,पैरों में सूजन हो रहा है
दांत में डर्ड और वजन कम होना है,दांत में दर्द और वजन कम होना है
हाथ्ों पीला लग रहा है,हाथों पीला लग रहा है
पिछले हफ्ते से उंगलियों में दर्द है और थकान भी होरहा है,पिछले हफ्ते से उंगलियों में दर्द है और थकान भी हो रहा है
पीठ में खूजली है जो जीभ तक फैल ड़हा है,पीठ में खुजली है जो जीभ तक फैल रहा है
कल सेसे हाथ में सूजन है,कल से से हाथ में सूजन है
"हां,जीभ में कढ़ापन है","हां, जीभ में कड़ापन है"
हथ में झनझनाहट है जो दांत तक फैल रहा है,हाथ में झनझनाहट है जो दांत तक फैल रहा है
पैर में डर्ड है जो मसूड़ों तक फैल रहा है,पैर में दर्द है जो मसूड़ों तक फैल रहा है
मेरे गर्दन में बहुत दर्द है,मेरे गर्दन में बहुत दर्द है
पिछले हफ्ते से पैरों में कड़ापन हैऔर वजन कम होना भी हो रहाहै,पिछले हफ्ते से पैरों में कड़ापन है और वजन कम होना भी हो रहा है
आंखों में सूजन ओर सर्दी है,आंखों में सूजन और सर्दी है
जब सोता करता हूं तो पीठ में तेज दर्द होता हैऔर हाथमें अंठन है जो गर्दन तकफैल रहा है,जब सोता करता हूं तो पीठ में तेज दर्द होता है और हाथ में ऐंठन है जो गर्दन तक फैल रहा है
पिछले हफ्ते से आंख में दर्द है और खाँसी भी हो रहा है,पिछले हफ्ते से आंख में दर्द है और खांसी भी हो रहा है
पैर में जलन और कमज़ोरी है और कल से से नाक में तेज दर्द है,पैर में जलन और कमजोरी है और कल से से नाक में तेज दर्द है
पिछले हफ ्ते से गले में जलन है और वजन बढ़नाभी होरहा है,पिछले हफ्ते से गले में जलन है और वजन बढ़ना भी हो रहा है
कान में भारीपन और कमजोरी है,कान में भारीपन और कमजोरी है
घुटनों में भारीपन है जो घुटना तक फैल रहा है और जब सोता करता हूं तो आख में सुन्नपन होता है,घुटनों में भारीपन है जो घुटना तक फैल रहा है और जब सोता करता हूं तो आंख में सुन्नपन होता है
परसों से से पेटमें तेज दर्द है,परसों से से पेट में तेज दर्द है
घुटना में तेज दर्द है जो कान तक फेल रहा है,घुटना में तेज दर्द है जो कान तक फैल रहा है
कलाइ में बहुत तेज सूजान है,कलाई में बहुत तेज सूजन है
परसों से से मसूड़ों में सूजन है और तीन दिन से से पेट में तेज डर्ड है,परसों से से मसूड़ों में सूजन है और तीन दिन से से पेट में तेज दर्द है
कल से कलाई में दरद शुरू हो गया,कल से कलाई में दर्द शुरू हो गया
दोपहर से शे कंधों में खुजली है और परसों से से चाकर है,दोपहर से से कंधों में खुजली है और परसों से से चक्कर है
सुबह से से उंगलियों में कड़ाफन है,सुबह से से उंगलियों में कड़ापन है
कभी -कभी दांत में कड़ापन होता है,कभी-कभी दांत में कड़ापन होता है
कल से मसू ड़ों में जलन शुरू होगया और पिछले हफ्ते से नाक में ज़लन है औरदस्त भी हो रहा है,कल से मसूड़ों में जलन शुरू हो गया और पिछले हफ्ते से नाक में जलन है और दस्त भी हो रहा है
गला में सुजन है जो कलाई तक फैल रहा है और उंगली में सूजन है जो कान तक फैल रहा है,गला में सूजन है जो कलाई तक फैल रहा है और उंगली में सूजन है जो कान तक फैल रहा है
कभी-कभी मसूड़ों नें झनझनाहट होता है,कभी-कभी मसूड़ों में झनझनाहट होता है
उंगलियों में तेज सुन्नपन है,उंगलियों में तेज सुन्नपन है
खाना खाने के बाद शिर में ऐंठन होता है,खाना खाने के बाद सिर में ऐंठन होता है
हाथों में कड़ापन हो रहा है,हाथों में कड़ापन हो रहा है
जप सोता करता हूं तो नाक में सुन्नपन होता है,जब सोता करता हूं तो नाक में सुन्नपन होता है
कर से नाक में तेज दर्द शुरू हो गया,कल से नाक में तेज दर्द शुरू हो गया
पिछले हफ्ते से उंगलीमें खुजली है और वजन बढ़ना भी हो रहा है,पिछले हफ्ते से उंगली में खुजली है और वजन बढ़ना भी हो रहा है
कभी-कभी कलाई में तेज दर्दे होता है,कभी-कभी कलाई में तेज दर्द होता है
पिछले हफ्ते से हाथ में भारीपन है और बेचैणी भी हो रहा है,पिछले हफ्ते से हाथ में भारीपन है और बेचैनी भी हो रहा है
मुझे हाथों में जलन है और पिछले हफ्ते से कंधों में दर्द है और ऊल्टी भी हो रहा है,मुझे हाथों में जलन है और पिछले हफ्ते से कंधों में दर्द है और उल्टी भी हो रहा है
हातों में भारीपन है जो पीठ तक फैल रहा है,हाथों में भारीपन है जो पीठ तक फैल रहा है
पिछले हफ्ते से कमर में तेज दर्द है और भूख नहीं ळगना भी हो रहा है,पिछले हफ्ते से कमर में तेज दर्द है और भूख नहीं लगना भी हो रहा है
कल से से उंगलियों में जलन है और शाम से से बेचैनी है,कल से से उंगलियों में जलन है और शाम से से बेचैनी है
घुटनों में भारीपन है जो सीर तक फैल रहा है,घुटनों में भारीपन है जो सिर तक फैल रहा है
घुटनों में तेज दर्द औड़ कमजोरी है,घुटनों में तेज दर्द और कमजोरी है
जब खाता करता हूं तो पेर में तेज दर्दे होता है,जब खाता करता हूं तो पैर में तेज दर्द होता है
छाती में खुजली औड कमजोरी है,छाती में खुजली और कमजोरी है
मुझे घबराहट और चक्कर है,मुझे घबराहट और चक्कर है
पिछले हफ्ते से टखना में झनझनाहट है और नींद नहीं आना भी हो रहा है,पिछले हफ्ते से टखना में झनझनाहट है और नींद नहीं आना भी हो रहा है
सुबह सेकंधों में जलन है,सुबह से कंधों में जलन है
पछले हफ्ते से कलाई में सूजन है और थकान भी हो रहा है,पिछले हफ्ते से कलाई में सूजन है और थकान भी हो रहा है
हाथों में भारीपन और वजन बढ़ना है,हाथों में भारीपन और वजन बढ़ना है
उंगली मेंखुजली औरबुखार है,उंगली में खुजली और बुखार है
पिछले हफ्ते से कलाई में भारीपन है और कमज़ोरि भी हो रहा है,पिछले हफ्ते से कलाई में भारीपन है और कमजोरी भी हो रहा है
खाना खाने केबाद जीभ में सूजन होता है,खाना खाने के बाद जीभ में सूजन होता है
खाना खाने के बाद गले में झनझनाहट होता है,खाना खाने के बाद गले में झनझनाहट होता है
जब चलता करता हूं तो जीभ में तेज दर्द होता है,जब चलता करता हूं तो जीभ में तेज दर्द होता है
एक हफ्ते से से सिर में खुजली ह और हाथों में दर्द और वजन बढ़ना है,एक हफ्ते से से सिर में खुजली है और हाथों में दर्द और वजन बढ़ना है
पिछले हफते से हात में सूजन है और घबराहट भी हो रहा है और कल से टखना में दर्द शुरू हो गया,पिछले हफ्ते से हाथ में सूजन है और घबराहट भी हो रहा है और कल से टखना में दर्द शुरू हो गया
पिछले हफ्ते से मसूढ़ों में सूजण है और सर्दी भी हो रहा है,पिछले हफ्ते से मसूड़ों में सूजन है और सर्दी भी हो रहा है
"जब सीढ़ी चढ़ता करता हूं तो घुटनों में कड़ापन होता है और हां, कंधों में तेज दर्द़ है","जब सीढ़ी चढ़ता करता हूं तो घुटनों में कड़ापन होता है और हां, कंधों में तेज दर्द है"
घुटनों में भारीपन और वजन कम होना है और पिछले हफ्ते से नाक में सूजन है और सांस लेने में तकलीफ भी हो रहा है,घुटनों में भारीपन और वजन कम होना है और पिछले हफ्ते से नाक में सूजन है और सांस लेने में तकलीफ भी हो रहा है
"हां, आंखों मैं भारीपन है","हां, आंखों में भारीपन है"
पिछल हफ्ते से पैर में सुन ्नपन है और दस्त भी हो रहा है औरजब चलता करत हूं तो जीभमें दड्द होथा है,पिछले हफ्ते से पैर में सुन्नपन है और दस्त भी हो रहा है और जब चलता करता हूं तो जीभ में दर्द होता है
पिछले हफ्ते से कलाई में ऐंठन है और चकर भी हो रहा है,पिछले हफ्ते से कलाई में ऐंठन है और चक्कर भी हो रहा है
जब सोता करता हूं तो कान में ऐंठन होता है,जब सोता करता हूं तो कान में ऐंठन होता है
"हां, पेट में भारीपन हैऔर कमर में भारीपन और नींद नहीं आना है","हां, पेट में भारीपन है और कमर में भारीपन और नींद नहीं आना है"
पिछले हफ्ते से हाथ में खुजली है और थकानभी हो रहाहै,पिछले हफ्ते से हाथ में खुजली है और थकान भी हो रहा है
पिछले हफ्ते से हाथ में अंठन है और खांसी भी हो रहा है,पिछले हफ्ते से हाथ में ऐंठन है और खांसी भी हो रहा है
दांत में जलन और खासी है,दांत में जलन और खांसी है
पीठ में कड़ापन और वजन बढ़नाहै,पीठ में कड़ापन और वजन बढ़ना है
नाक में तेज दर्दहै जो आखों तक फैल रहा है,नाक में तेज दर्द है जो आंखों तक फैल रहा है
पिछले हफ्ते से पेट में झनझनाहट है और बुखार भी हो रहा है,पिछले हफ्ते से पेट में झनझनाहट है और बुखार भी हो रहा है
कल से से उंगलियों में खु जली है,कल से से उंगलियों में खुजली है
क़मर में भारीपन है जो कलाई तक फैल रहा है,कमर में भारीपन है जो कलाई तक फैल रहा है
पिछले हफ्ते से पीठ में जलन है और वजन बढ़ना भी हो रहा है,पिछले हफ्ते से पीठ में जलन है और वजन बढ़ना भी हो रहा है
पिछले हफ्ते से दांत नें खुजली है और भूख नहीं लगना भी हो रहा है,पिछले हफ्ते से दांत में खुजली है और भूख नहीं लगना भी हो रहा है
सि र में भारीपन और भूख नहीं लगना है,सिर में भारीपन और भूख नहीं लगना है
कान मेंदर्द है जो गले थक फैल रहाहै,कान में दर्द है जो गले तक फैल रहा है
शाम से से शिर में खुजली है,शाम से से सिर में खुजली है
पैरों में तेज दर्द ओर चक्कर है,पैरों में तेज दर्द और चक्कर है
गर्दन में जलन और चकर है,गर्दन में जलन और चक्कर है
पीठ में कड़ापन और उल्टी है,पीठ में कड़ापन और उल्टी है
पिछले हफ्ते से गला में ऐंठन है और कांसी भी हो रहा है और सुबह से आँख में सुन्नपन है,पिछले हफ्ते से गला में ऐंठन है और खांसी भी हो रहा है और सुबह से आंख में सुन्नपन है
पायर में ऐंठन और नींद नहीं आना है,पैर में ऐंठन और नींद नहीं आना है
पिछले हफ्ते सेपैर में सुन्नपन है और खांसी भी हो रहा है,पिछले हफ्ते से पैर में सुन्नपन है और खांसी भी हो रहा है
मुझे नींद नहीं आना और घबराहट है और दांत में सुन्नपन और वजन कम होमा है,मुझे नींद नहीं आना और घबराहट है और दांत में सुन्नपन और वजन कम होना है
पिछले हफ्तेसे उंगलीमें भारीपण है और वजन कम होनाभी हो रहा है,पिछले हफ्ते से उंगली में भारीपन है और वजन कम होना भी हो रहा है
जभ खाता करता हूं तो पैरों में दर्द होता है और पिछले हफ्ते से उंगलियों मे कड़ापन है और सर्दी भी हो रहा है,जब खाता करता हूं तो पैरों में दर्द होता है और पिछले हफ्ते से उंगलियों में कड़ापन है और सर्दी भी हो रहा है
पिछरे हफ्ते से उंगलियोँ में जलन है और कमजोरी भी हो रहा है,पिछले हफ्ते से उंगलियों में जलन है और कमजोरी भी हो रहा है
उंगलियों में सुन्नपन और सांस लेने में तकलीफ है और कमर नें बहुत तेज भारीफन है,उंगलियों में सुन्नपन और सांस लेने में तकलीफ है और कमर में बहुत तेज भारीपन है
पिछले हफ्ते से सिर में कड़ापन है और भूख नहीं लगना भी होरहा है,पिछले हफ्ते से सिर में कड़ापन है और भूख नहीं लगना भी हो रहा है
शाम से से दांत मेंसूजन है,शाम से से दांत में सूजन है
रातसे से उंगलियों में भारीपन है,रात से से उंगलियों में भारीपन है
जब खाता करता हूं तो कान् में दर्द होता है और पीठ में जलन और बेचैनी है,जब खाता करता हूं तो कान में दर्द होता है और पीठ में जलन और बेचैनी है
कभी-कभी जीभ में अंठन होता है,कभी-कभी जीभ में ऐंठन होता है
भूख नहीं लगना के शाथ बेचैनी भी है और आंख में तेज दर्द हो रहा है,भूख नहीं लगना के साथ बेचैनी भी है और आंख में तेज दर्द हो रहा है
पीठ में ज़लन है जो छाती तक फैल रहा है,पीठ में जलन है जो छाती तक फैल रहा है
हाथ में तेज दर्द है जो उंगली तक फैल रहा है,हाथ में तेज दर्द है जो उंगली तक फैल रहा है
षुबह से से गला में तेज दर्द है,सुबह से से गला में तेज दर्द है
जब सोता करता हूं थो कंधों में भारीपन होता है,जब सोता करता हूं तो कंधों में भारीपन होता है
जब बैठता करता हूं तो पैर में जलन होता है,जब बैठता करता हूं तो पैर में जलन होता है
दोपहर से से कंधों में शूजन है,दोपहर से से कंधों में सूजन है
कभी-कभी पैर में सुन्नफन होता है,कभी-कभी पैर में सुन्नपन होता है
कान में सूजनहै जोछाती तक फैल रहा है और पिछले हफ्ते से आंखोंमें भारीपन है और सर ्दी भी हो रहा है,कान में सूजन है जो छाती तक फैल रहा है और पिछले हफ्ते से आंखों में भारीपन है और सर्दी भी हो रहा है
पिछले हफ्ते से अंखों में जलन है और भूख नहीं लगना भी हो रहा है,पिछले हफ्ते से आंखों में जलन है और भूख नहीं लगना भी हो रहा है
शान से से टखना में झनझनाहट है,शाम से से टखना में झनझनाहट है
घुटनों में बहुत तेज झनजनाहट है,घुटनों में बहुत तेज झनझनाहट है
जब चलता करता हूं टो मसूड़ों में जलन होता है और उंगलियों में भारीपन है जो घुटना तक फैल रहा है,जब चलता करता हूं तो मसूड़ों में जलन होता है और उंगलियों में भारीपन है जो घुटना तक फैल रहा है
कंधा में सूजन और कमजोरी है,कंधा में सूजन और कमजोरी है
दांत में कड़ापन है जो गाले तक फैल रहा है,दांत में कड़ापन है जो गले तक फैल रहा है
उंगली में खुजली है जो कान तक फैल रहा है,उंगली में खुजली है जो कान तक फैल रहा है
पिछले हफ्ते से दांत में ऐंठन है और खासी भी हो रहा है और जीभ में दर्द और सर्दी है,पिछले हफ्ते से दांत में ऐंठन है और खांसी भी हो रहा है और जीभ में दर्द और सर्दी है
उंगलियों में हल्किझनझनाहट है,उंगलियों में हल्की झनझनाहट है
दस्त गे साथ वजन बढ़ना भी है और पिछले हफ्ते से घुटनों में झनझनाहट है और चक्कर भी हो रहा है,दस्त के साथ वजन बढ़ना भी है और पिछले हफ्ते से घुटनों में झनझनाहट है और चक्कर भी हो रहा है
कल से आंखों में तेज दर्द शुरू हो गया,कल से आंखों में तेज दर्द शुरू हो गया
पिछले हफ्ते से कमड में झनझनाहट है औल घबराहट भी हो रहा है,पिछले हफ्ते से कमर में झनझनाहट है और घबराहट भी हो रहा है
हाथ् में ऐंठन और जुकाम है और जब सीढ़ी चढ़ता करता हूं तो अखं में भारीपन होता है,हाथ में ऐंठन और जुकाम है और जब सीढ़ी चढ़ता करता हूं तो आंख में भारीपन होता है
कल से टखना में कड़ापन षुरू हो गया,कल से टखना में कड़ापन शुरू हो गया
आंख में सूजन है जौ गले तक फैल रहा है,आंख में सूजन है जो गले तक फैल रहा है
नाकमें जलन है जो नाक तक फैल रहा है,नाक में जलन है जो नाक तक फैल रहा है
सिर में तेज दर्द है जो परै तक फैल रहा है,सिर में तेज दर्द है जो पैर तक फैल रहा है
गर्दन में सूजन और सांस लेने में तकलीफ है और रात को बुखर बढ़ जाता है,गर्दन में सूजन और सांस लेने में तकलीफ है और रात को बुखार बढ़ जाता है
पिछले हफ्ते से आंखों में ऐंठन है और कमजोर भी हो रहा है,पिछले हफ्ते से आंखों में ऐंठन है और कमजोरी भी हो रहा है
पिछले हफ्ते से सिर में सुन्नपन है और नींद नहीं आना भी हो रहा है,पिछले हफ्ते से सिर में सुन्नपन है और नींद नहीं आना भी हो रहा है
पीठ में ऐंठन है जो कान तक फैल रहा है,पीठ में ऐंठन है जो कान तक फैल रहा है
घुटना में हल्की कड़ापन है और कान में ऐंठम है जो आंखों तक फैल रहा है,घुटना में हल्की कड़ापन है और कान में ऐंठन है जो आंखों तक फैल रहा है
मसूड़ों में भारीपन है जो मसूड़ों तक फैल रहा है,मसूड़ों में भारीपन है जो मसूड़ों तक फैल रहा है
जब खाता करता हूं तो मसूड़ों में ऐंठन होता है,जब खाता करता हूं तो मसूड़ों में ऐंठन होता है
हाथ में खुजली औड जुकाम है,हाथ में खुजली और जुकाम है
जब षोता गरता हूं तो नाक में खुजली होता है,जब सोता करता हूं तो नाक में खुजली होता है
कल से से कमर में दल्द है,कल से से कमर में दर्द है
पेठमें ऐंठन और खांसी है,पेट में ऐंठन और खांसी है
पैर में सुन ्नपन है जो कंधों तक फैल रहा है,पैर में सुन्नपन है जो कंधों तक फैल रहा है
जब चलता करता हूं तो गले में खुज़ली होता है,जब चलता करता हूं तो गले में खुजली होता है
पिछले हफ्ते से दांत में दर्दे है औल चक्कर भी हो रहा है और आंख में सूजन और पसीना आना है,पिछले हफ्ते से दांत में दर्द है और चक्कर भी हो रहा है और आंख में सूजन और पसीना आना है
गला में बहुत तेज ऐठन है,गला में बहुत तेज ऐंठन है
सुबह से घुटनों में झनझनाहट है और पिछले हफ्ते शे मसूड़ों में सूजण है औड़ घबराहट भी हो रहा है,सुबह से घुटनों में झनझनाहट है और पिछले हफ्ते से मसूड़ों में सूजन है और घबराहट भी हो रहा है
जब चलता करता हूं तो आंख में सुन्नपनहोता है,जब चलता करता हूं तो आंख में सुन्नपन होता है
जब खाता करता हूं तोकंधा में सुन्नपन होताहै,जब खाता करता हूं तो कंधा में सुन्नपन होता है
मुझे भूख नहीं लगना औड भूख नहीं लगना है,मुझे भूख नहीं लगना और भूख नहीं लगना है
जब खाता कडता हूं तो घुटना में ज़लनहोता है,जब खाता करता हूं तो घुटना में जलन होता है
नाख में ऐंठन है जो पेट तक बैल रहाहै और टखना में सुन्नपन है जो घुटनातक फैल डहा है,नाक में ऐंठन है जो पेट तक फैल रहा है और टखना में सुन्नपन है जो घुटना तक फैल रहा है
पिछले हफ्ते से सिर में तेज दर्द है और घबराहट भी हो रहा है,पिछले हफ्ते से सिर में तेज दर्द है और घबराहट भी हो रहा है
घुटनों में ऐंठन और पसीना आना है और कंधों में सुजन और भूख नहीं लगना है,घुटनों में ऐंठन और पसीना आना है और कंधों में सूजन और भूख नहीं लगना है
फिछले हफ्ते से कंधों में झनझनाहट है और जुकाम भी हो रहा है,पिछले हफ्ते से कंधों में झनझनाहट है और जुकाम भी हो रहा है
पेरों में कड़ापन और वजन बढ़ना है,पैरों में कड़ापन और वजन बढ़ना है
कान में दर्द और नींद नहीं आना है,कान में दर्द और नींद नहीं आना है
हाथ में सूजन और सर्ती है,हाथ में सूजन और सर्दी है
पिछले हफ्ते से छाती में शूजन है और बुकार भी हो रहा है,पिछले हफ्ते से छाती में सूजन है और बुखार भी हो रहा है
तीन दिन से से पैरों में कढ़ापन है,तीन दिन से से पैरों में कड़ापन है
जब बैठताकरता हूं तोकंधों में खुजली होता है,जब बैठता करता हूं तो कंधों में खुजली होता है
उंगली में सूजन ओर उल्टी है और पिछले हफ्ते से कंधा में तेज दर्द है और घबराहट भी हो रहा है,उंगली में सूजन और उल्टी है और पिछले हफ्ते से कंधा में तेज दर्द है और घबराहट भी हो रहा है
पिछले हफ्ते से आंखों में खुजली है और दस्त भी हो रहा है,पिछले हफ्ते से आंखों में खुजली है और दस्त भी हो रहा है
कल से पैर में झनझनाहट शुरू हो गया और पि छले हफ्ते से कलाई में सूजन है और नींद नहीं आना भी हो रहा है,कल से पैर में झनझनाहट शुरू हो गया और पिछले हफ्ते से कलाई में सूजन है और नींद नहीं आना भी हो रहा है
मसूड़ों में कड़ापन है जो पैरों तग फैल रहा है,मसूड़ों में कड़ापन है जो पैरों तक फैल रहा है
जब बैठता करता हूं तो हाथ में दड्द होता है,जब बैठता करता हूं तो हाथ में दर्द होता है
जब चलता करता हूंतो कान में तेज दर्द होता है,जब चलता करता हूं तो कान में तेज दर्द होता है
कंधों में सूजन है जो सि र तक फैल रहा है,कंधों में सूजन है जो सिर तक फैल रहा है
टखना पीला लग रहा है और कलाई में हल्की दरद है,टखना पीला लग रहा है और कलाई में हल्की दर्द है
मेरेनक में बहुतसूजन है,मेरे नाक में बहुत सूजन है
जब खाता करता हूं तो दांतमें ऐंठन होता है,जब खाता करता हूं तो दांत में ऐंठन होता है
नक़ में हल्की कड़ापन है,नाक में हल्की कड़ापन है
खान सूजा हुआ है और खाना खाने के बाद दांत में सुन्नपन होता है,कान सूजा हुआ है और खाना खाने के बाद दांत में सुन्नपन होता है
जब बैठता करता हूं थो पैरों में ऐंठन होता है,जब बैठता करता हूं तो पैरों में ऐंठन होता है
बुखार के साथ सर्दी भी है और जप चलता करता हूं तो जीभ में सूजन होता है,बुखार के साथ सर्दी भी है और जब चलता करता हूं तो जीभ में सूजन होता है
कान् में हल्की तेज दर्द है,कान में हल्की तेज दर्द है
पिछले हफ्ते से पीठ में झनझनाहट है और खांसी भी हो रहा है और जब खाता करता हूं तो छाती में भारीपन होता है,पिछले हफ्ते से पीठ में झनझनाहट है और खांसी भी हो रहा है और जब खाता करता हूं तो छाती में भारीपन होता है
परसों से से घुटणों में कड़ापन है,परसों से से घुटनों में कड़ापन है
मुझे नाख में जलन है,मुझे नाक में जलन है
सुबह से आंख में ऐंडन है,सुबह से आंख में ऐंठन है
छाती में कड़ापम और चाकर है,छाती में कड़ापन और चक्कर है
रात से से हाथों में अंठन है और सुबह से सीर में तेज दर्द है,रात से से हाथों में ऐंठन है और सुबह से सिर में तेज दर्द है
बिछले हफ्ते से कंधों में दर्दे है और भूख नहीं लगना भी हो रहा है,पिछले हफ्ते से कंधों में दर्द है और भूख नहीं लगना भी हो रहा है
पिछले हफ्ते से पेट में झनझनाहट है और काशी भी हो रहा है,पिछले हफ्ते से पेट में झनझनाहट है और खांसी भी हो रहा है
पैरों में बहुत तेज ऐंठन है,पैरों में बहुत तेज ऐंठन है
जब खाता करता हूं तो सिर में जलन होदा है और मेरे कान में बहुत दर्द है,जब खाता करता हूं तो सिर में जलन होता है और मेरे कान में बहुत दर्द है
कंधा में हल्की खुजलि है,कंधा में हल्की खुजली है
खाना खानेके बाद उंगली में दर्द होताहै,खाना खाने के बाद उंगली में दर्द होता है
पिछले हफ्ते से मसूढ़ों में भारीपन है और पसिन आन भी हो रहा है,पिछले हफ्ते से मसूड़ों में भारीपन है और पसीना आना भी हो रहा है
जीम हल्का लग रहा है,जीभ हल्का लग रहा है
